soil_moisture,rainfall,rainfall_24h,slope_angle,tilt_rate,factor_of_safety,synthetic_risk_probability,hazard_label,hazard_tier
66.91,35.87,63.71,32.77,0.0499,0.79,0.9835,1,CRITICAL
49.44,46.98,65.93,40.93,-0.0716,0.76,0.9773,1,CRITICAL
20.51,7.14,23.44,32.09,0.0096,1.18,0.4332,0,HIGH
79.75,30.84,71.42,25.48,0.0565,0.88,0.9789,1,CRITICAL
52.29,14.64,44.57,32.13,0.0328,0.91,0.8794,1,CRITICAL
76.06,70.33,98.07,35.76,0.1191,0.67,0.9993,1,CRITICAL
50.87,37.43,74.76,33.74,-0.064,0.88,0.9658,1,CRITICAL
28.92,45.7,85.37,31.55,0.0269,1.12,0.6839,1,HIGH
53.85,36.83,50.8,35.47,0.0334,0.82,0.9675,1,CRITICAL
57.99,36.21,72.0,36.19,0.0624,0.78,0.9733,1,CRITICAL
31.94,3.11,33.6,37.68,0.0218,0.93,0.7904,1,CRITICAL
37.84,7.8,39.36,32.54,0.021,1.01,0.623,1,HIGH
45.13,37.04,62.68,26.83,-0.0489,1.15,0.787,1,CRITICAL
76.43,43.42,64.07,29.03,-0.0495,0.81,0.9892,1,CRITICAL
15.86,7.83,16.42,36.45,0.0579,1.08,0.4338,0,HIGH
43.48,28.58,40.46,22.28,0.0134,1.39,0.4889,0,MODERATE
68.61,30.77,78.17,30.58,0.0566,0.83,0.9936,1,CRITICAL
21.83,0.0,24.45,25.25,0.0101,1.47,0.141,0,LOW
95.61,72.42,83.14,28.2,0.0854,0.68,0.9993,1,CRITICAL
67.01,100.0,154.7,36.95,0.1313,0.71,0.9995,1,CRITICAL
23.77,23.46,26.28,29.34,0.0261,1.25,0.4387,0,MODERATE
46.87,18.46,41.77,28.33,0.0251,1.07,0.6314,1,HIGH
31.48,21.51,39.82,18.48,0.0083,1.85,0.1026,0,LOW
32.67,30.24,50.42,33.22,0.0498,1.04,0.8307,1,CRITICAL
49.02,37.32,40.3,32.52,0.0646,0.93,0.9232,1,CRITICAL
13.58,19.23,25.33,43.14,0.0194,0.94,0.6397,1,CRITICAL
14.9,12.74,12.46,25.85,0.0262,1.52,0.0867,0,LOW
49.86,28.98,51.09,29.53,0.027,1.01,0.7943,1,CRITICAL
39.35,29.49,35.94,29.75,-0.0187,1.09,0.7322,1,HIGH
51.62,31.1,46.79,39.04,0.0373,0.77,0.9195,1,CRITICAL
48.09,29.19,47.92,27.33,-0.0696,1.1,0.9031,1,CRITICAL
30.06,30.57,63.33,29.95,0.0298,1.17,0.7704,1,CRITICAL
57.33,37.55,64.47,32.26,0.0399,0.87,0.9674,1,CRITICAL
52.31,39.17,83.28,29.31,0.0497,0.99,0.953,1,CRITICAL
90.14,52.57,88.29,24.87,-0.0661,0.81,0.9966,1,CRITICAL
36.36,18.4,29.19,29.36,0.0145,1.13,0.668,1,HIGH
26.72,0.0,26.01,35.52,0.0173,1.02,0.4431,0,HIGH
63.94,49.65,86.58,20.81,-0.0443,1.24,0.9517,1,CRITICAL
46.25,19.72,52.47,28.93,0.0239,1.06,0.9102,1,CRITICAL
28.75,54.77,82.97,23.1,0.0202,1.52,0.4622,0,MODERATE
50.73,32.25,43.13,36.37,-0.0385,0.83,0.9278,1,CRITICAL
55.69,25.64,49.84,17.34,0.0339,1.6,0.5381,1,HIGH
47.06,32.13,44.4,24.09,0.0246,1.25,0.6484,1,HIGH
56.47,36.57,51.1,30.64,0.0492,0.92,0.9363,1,CRITICAL
33.36,16.33,31.05,38.96,0.0161,0.89,0.744,1,CRITICAL
65.07,51.85,60.85,27.54,0.0383,0.94,0.9696,1,CRITICAL
55.48,28.63,59.8,24.11,0.0541,1.16,0.945,1,CRITICAL
23.79,29.49,24.63,41.17,0.0143,0.91,0.4224,0,CRITICAL
58.51,26.58,48.06,17.86,0.0252,1.51,0.4042,0,MODERATE
36.12,20.0,47.39,12.61,0.0514,2.6,0.0342,0,LOW
93.47,46.88,83.99,31.08,0.0896,0.64,0.999,1,CRITICAL
36.59,13.89,41.47,24.49,0.0124,1.34,0.4416,0,MODERATE
25.92,25.76,29.86,20.85,0.0471,1.72,0.1796,0,LOW
33.25,19.83,59.76,32.96,0.022,1.04,0.745,1,HIGH
45.13,42.92,48.37,29.71,0.0379,1.04,0.9189,1,CRITICAL
39.3,32.61,69.95,24.05,0.0279,1.34,0.6954,1,HIGH
57.51,42.4,56.72,19.04,0.0302,1.44,0.6811,1,HIGH
21.65,13.75,22.51,34.11,0.0174,1.1,0.3777,0,HIGH
27.78,20.0,28.82,32.55,0.0166,1.1,0.4888,0,HIGH
46.91,23.26,48.61,27.31,0.0431,1.11,0.8013,1,CRITICAL
21.01,20.41,28.13,40.93,0.0481,0.94,0.8007,1,CRITICAL
64.49,42.77,69.03,20.51,0.0318,1.25,0.8999,1,CRITICAL
29.46,1.85,27.38,17.32,-0.0288,2.01,0.0347,0,LOW
40.23,19.36,48.31,23.16,0.0171,1.38,0.5254,1,HIGH
21.6,18.53,39.89,27.68,0.0092,1.35,0.3623,0,MODERATE
19.28,11.87,32.36,29.7,-0.053,1.28,0.517,1,HIGH
72.66,53.32,67.99,26.31,0.0534,0.91,0.9782,1,CRITICAL
38.77,61.78,102.86,30.46,0.043,1.07,0.8877,1,CRITICAL
28.55,10.59,30.62,19.24,0.0183,1.82,0.1282,0,LOW
64.17,26.91,53.03,38.11,0.0478,0.71,0.9689,1,CRITICAL
88.91,53.14,96.98,27.42,0.0882,0.75,0.9987,1,CRITICAL
41.97,19.41,37.15,35.82,0.0333,0.9,0.8312,1,CRITICAL
64.1,31.26,70.02,30.4,0.076,0.86,0.9914,1,CRITICAL
67.88,26.22,57.26,31.2,0.0405,0.82,0.9668,1,CRITICAL
54.17,33.82,43.59,31.99,0.0288,0.9,0.8914,1,CRITICAL
39.89,22.57,34.53,31.13,0.0158,1.04,0.7447,1,HIGH
82.35,42.26,72.97,32.5,0.0666,0.69,0.9972,1,CRITICAL
26.39,13.71,22.8,37.3,0.0512,0.98,0.7911,1,CRITICAL
75.31,37.68,63.56,29.38,-0.0881,0.8,0.9948,1,CRITICAL
39.21,29.75,53.07,32.96,0.0436,0.99,0.876,1,CRITICAL
36.47,35.9,51.21,27.37,-0.0325,1.21,0.7459,1,HIGH
20.21,29.44,41.68,38.08,0.0389,1.0,0.5419,1,HIGH
40.24,20.16,59.79,23.27,0.0196,1.37,0.4865,0,MODERATE
28.21,17.13,30.75,40.61,0.0137,0.89,0.5731,1,CRITICAL
69.17,36.34,85.66,27.72,0.0605,0.9,0.9696,1,CRITICAL
56.35,40.12,56.28,17.98,0.0458,1.53,0.7516,1,CRITICAL
56.12,40.34,54.44,28.9,-0.039,0.97,0.9573,1,CRITICAL
36.28,22.72,48.04,23.23,0.024,1.42,0.4883,0,MODERATE
65.79,32.58,56.24,33.88,0.0457,0.77,0.9825,1,CRITICAL
27.25,5.99,45.17,23.43,0.0253,1.52,0.2691,0,MODERATE
33.83,31.02,35.48,24.88,0.0428,1.35,0.5014,1,HIGH
32.72,24.03,28.22,14.77,0.0105,2.29,0.0305,0,LOW
59.05,40.99,49.15,24.83,0.0385,1.09,0.9402,1,CRITICAL
31.55,31.63,27.94,12.0,0.0096,2.84,0.0019,0,LOW
58.45,35.73,79.95,16.91,0.05,1.6,0.8273,1,CRITICAL
11.94,56.94,80.11,33.32,0.0203,1.21,0.5902,1,HIGH
82.21,58.23,72.39,33.5,0.0727,0.67,0.9975,1,CRITICAL
38.08,6.44,35.65,30.98,0.0222,1.06,0.7253,1,HIGH
64.21,31.33,55.08,21.23,0.0265,1.21,0.8859,1,CRITICAL
11.66,17.59,35.37,27.67,0.034,1.45,0.1154,0,LOW
16.3,18.49,16.56,27.97,0.0501,1.39,0.152,0,MODERATE
80.67,37.99,103.21,19.89,0.0649,1.1,0.9926,1,CRITICAL
24.16,39.66,35.83,38.52,0.0149,0.97,0.5035,1,CRITICAL
56.44,46.43,79.26,34.14,0.0673,0.83,0.9731,1,CRITICAL
68.72,49.41,67.09,26.45,-0.0497,0.94,0.9516,1,CRITICAL
27.13,22.98,39.3,28.19,0.0144,1.27,0.3481,0,MODERATE
75.25,49.74,74.7,29.46,0.0558,0.8,0.9924,1,CRITICAL
53.4,18.43,69.41,13.71,0.05,2.06,0.3327,0,MODERATE
63.58,42.94,77.97,26.27,0.0673,1.0,0.9833,1,CRITICAL
38.1,34.79,43.85,23.23,0.0394,1.4,0.4912,0,MODERATE
26.03,24.39,35.84,20.99,0.0152,1.71,0.1128,0,LOW
59.7,35.23,86.0,26.03,-0.0655,1.04,0.9797,1,CRITICAL
68.26,57.3,94.47,40.58,0.1003,0.65,0.9981,1,CRITICAL
53.81,27.46,59.42,32.49,0.0417,0.89,0.9382,1,CRITICAL
81.35,30.07,65.2,24.0,0.0702,0.92,0.9916,1,CRITICAL
65.26,17.11,53.86,32.01,0.1379,0.82,0.9897,1,CRITICAL
79.61,61.96,92.96,37.8,0.1277,0.62,0.9992,1,CRITICAL
84.09,52.29,68.6,34.47,0.0887,0.64,0.9974,1,CRITICAL
70.2,57.06,59.76,28.42,0.0604,0.87,0.99,1,CRITICAL
58.37,15.64,50.63,23.47,0.0389,1.16,0.8361,1,CRITICAL
24.38,27.63,33.26,32.89,0.0377,1.12,0.5687,1,HIGH
89.67,59.11,84.63,30.75,0.088,0.67,0.9984,1,CRITICAL
31.18,12.24,30.07,34.27,0.0137,1.02,0.5539,1,HIGH
42.47,13.3,37.47,32.45,0.0391,0.98,0.8552,1,CRITICAL
31.63,17.34,47.0,35.35,0.0553,0.99,0.8078,1,CRITICAL
44.24,40.63,76.5,24.25,0.0336,1.27,0.8799,1,CRITICAL
26.39,15.18,21.92,37.22,0.0301,0.98,0.445,0,CRITICAL
55.97,41.75,46.92,29.38,-0.0305,0.96,0.9288,1,CRITICAL
42.43,40.67,49.36,42.53,0.0726,0.77,0.9591,1,CRITICAL
51.06,23.04,65.32,23.18,0.043,1.25,0.8399,1,CRITICAL
62.73,36.32,73.68,40.15,0.0745,0.69,0.9931,1,CRITICAL
16.38,32.3,32.18,29.39,-0.0279,1.32,0.339,0,MODERATE
62.55,42.37,82.8,23.44,0.0656,1.12,0.9696,1,CRITICAL
35.84,18.84,32.34,24.61,0.0429,1.35,0.5917,1,HIGH
39.45,2.9,33.26,25.76,0.046,1.25,0.6501,1,HIGH
50.56,44.4,54.78,30.97,0.0294,0.96,0.8665,1,CRITICAL
28.84,10.26,48.98,31.66,0.0169,1.12,0.583,1,HIGH
47.15,14.06,50.81,23.98,0.0454,1.26,0.8372,1,CRITICAL
54.51,66.34,93.06,27.83,0.0908,1.02,0.9791,1,CRITICAL
52.51,58.69,65.82,43.0,0.0551,0.71,0.9699,1,CRITICAL
35.17,24.84,46.24,40.09,0.0219,0.86,0.8598,1,CRITICAL
39.05,18.83,32.17,31.05,0.0188,1.05,0.7126,1,HIGH
15.53,17.56,14.13,28.27,0.0093,1.38,0.0999,0,MODERATE
26.98,29.67,44.63,28.84,-0.033,1.24,0.4956,0,MODERATE
20.79,8.24,19.95,32.29,0.0052,1.17,0.2723,0,HIGH
62.38,25.35,50.34,20.84,0.0254,1.26,0.8268,1,CRITICAL
31.73,21.31,61.63,26.2,-0.0507,1.31,0.7084,1,HIGH
47.09,44.87,70.9,16.32,0.0207,1.83,0.2766,0,MODERATE
48.3,24.48,42.33,30.79,-0.0423,0.98,0.9087,1,CRITICAL
39.09,28.02,53.99,32.53,0.0296,1.0,0.7986,1,CRITICAL
25.24,2.54,20.93,24.62,0.0206,1.47,0.2896,0,MODERATE
38.41,12.45,35.76,39.02,0.019,0.86,0.8897,1,CRITICAL
71.57,49.33,71.92,19.42,0.0384,1.23,0.9177,1,CRITICAL
62.97,52.01,71.98,17.75,0.0351,1.46,0.7376,1,HIGH
74.82,32.74,60.02,29.57,0.0735,0.8,0.9939,1,CRITICAL
79.54,37.41,69.55,35.33,0.0776,0.66,0.997,1,CRITICAL
41.51,13.56,36.83,39.79,-0.021,0.82,0.8833,1,CRITICAL
75.28,100.0,160.86,24.79,0.1243,0.94,0.9989,1,CRITICAL
38.81,28.94,47.73,35.55,0.0228,0.93,0.8196,1,CRITICAL
50.47,32.59,48.18,27.73,0.0633,1.06,0.9026,1,CRITICAL
44.38,25.59,36.68,26.79,0.0181,1.15,0.7023,1,HIGH
57.94,32.95,60.04,34.19,0.0497,0.82,0.9557,1,CRITICAL
71.03,31.68,72.22,32.57,0.0568,0.76,0.9903,1,CRITICAL
44.51,26.66,61.03,16.97,0.0277,1.8,0.2089,0,LOW
48.03,37.4,43.53,38.34,-0.037,0.81,0.9157,1,CRITICAL
41.47,48.52,92.97,37.66,0.0563,0.86,0.9653,1,CRITICAL
47.69,24.0,46.84,23.62,0.0181,1.27,0.7004,1,HIGH
53.68,17.58,48.21,30.77,0.0582,0.94,0.9539,1,CRITICAL
58.8,19.92,53.46,31.46,0.0573,0.88,0.9737,1,CRITICAL
28.54,12.61,33.83,29.82,0.0246,1.19,0.3638,0,HIGH
30.25,56.24,65.59,24.15,-0.0287,1.44,0.5673,1,HIGH
67.89,51.12,74.24,23.3,0.057,1.07,0.9626,1,CRITICAL
52.26,27.56,54.71,27.82,0.0288,1.04,0.8602,1,CRITICAL
41.14,32.18,35.58,36.21,-0.0581,0.9,0.9051,1,CRITICAL
83.33,39.93,69.09,31.81,0.0661,0.7,0.9955,1,CRITICAL
14.32,26.7,21.92,25.41,0.0187,1.55,0.1052,0,LOW
45.07,55.49,55.63,33.4,0.0419,0.93,0.9253,1,CRITICAL
42.75,43.32,55.06,12.0,0.0246,2.58,0.0157,0,LOW
65.27,34.58,56.06,36.04,0.0756,0.74,0.9883,1,CRITICAL
52.26,33.03,43.39,15.82,0.0172,1.81,0.241,0,LOW
46.05,26.62,44.12,25.46,-0.038,1.2,0.8138,1,CRITICAL
66.27,35.98,90.56,20.16,0.054,1.25,0.946,1,CRITICAL
23.62,11.89,30.72,18.94,-0.0058,1.93,0.0317,0,LOW
49.21,17.58,45.15,36.13,0.0348,0.84,0.8954,1,CRITICAL
49.61,20.57,45.56,24.73,0.0459,1.19,0.7653,1,CRITICAL
73.86,54.66,61.21,30.43,-0.0515,0.79,0.9804,1,CRITICAL
85.57,58.06,78.07,27.67,-0.0715,0.77,0.9955,1,CRITICAL
72.63,53.38,81.61,31.34,0.072,0.78,0.9965,1,CRITICAL
39.85,58.39,83.77,28.54,0.0462,1.13,0.9033,1,CRITICAL
30.25,1.86,34.64,19.02,0.039,1.82,0.1892,0,LOW
35.5,25.97,31.15,34.97,0.0157,0.97,0.6235,1,CRITICAL
31.17,34.7,42.17,24.54,-0.0213,1.4,0.2243,0,MODERATE
22.47,1.11,39.18,17.1,0.0133,2.15,0.0251,0,LOW
71.54,42.66,58.34,25.0,0.04,0.97,0.9828,1,CRITICAL
68.85,35.89,83.55,38.51,0.1116,0.68,0.9971,1,CRITICAL
47.53,19.02,64.54,33.95,0.0348,0.9,0.9321,1,CRITICAL
41.42,38.9,42.73,25.56,0.017,1.24,0.4622,0,MODERATE
63.17,27.65,62.86,25.56,0.0537,1.03,0.9585,1,CRITICAL
44.69,25.54,54.49,25.75,-0.0255,1.2,0.733,1,HIGH
39.8,39.17,48.78,42.54,0.0468,0.79,0.8584,1,CRITICAL
41.06,16.81,33.1,30.67,0.0407,1.04,0.7215,1,HIGH
71.57,33.73,59.22,31.01,0.0482,0.79,0.978,1,CRITICAL
29.98,13.97,26.64,35.21,0.0126,1.0,0.4479,0,HIGH
66.29,47.98,74.17,29.67,0.051,0.87,0.9768,1,CRITICAL
55.01,29.36,52.71,26.19,0.0287,1.08,0.8946,1,CRITICAL
81.66,47.44,77.16,26.63,-0.0606,0.83,0.9921,1,CRITICAL
36.9,26.01,51.74,27.5,0.048,1.2,0.8095,1,CRITICAL
22.98,18.3,24.64,27.74,0.0273,1.33,0.2624,0,MODERATE
53.03,41.03,63.16,33.09,0.037,0.88,0.9538,1,CRITICAL
26.97,37.18,30.33,28.36,0.0388,1.26,0.5002,1,HIGH
25.76,12.82,27.71,33.13,0.0091,1.1,0.5745,1,HIGH
74.7,37.66,65.84,27.43,0.061,0.86,0.9849,1,CRITICAL
77.19,69.6,112.02,28.55,0.0848,0.81,0.9979,1,CRITICAL
45.3,44.69,58.41,14.01,0.0133,2.17,0.0582,0,LOW
44.25,10.51,35.71,34.41,0.0395,0.91,0.9272,1,CRITICAL
44.68,50.89,83.09,30.43,0.0471,1.02,0.9032,1,CRITICAL
64.55,19.35,74.04,34.99,0.0694,0.76,0.9915,1,CRITICAL
37.3,16.64,32.27,12.0,0.0131,2.71,0.0095,0,LOW
10.59,16.53,9.66,42.62,0.0025,0.97,0.2079,0,CRITICAL
25.09,8.1,25.6,27.02,0.026,1.34,0.3445,0,MODERATE
31.31,25.6,39.73,35.76,0.0406,0.98,0.7029,1,CRITICAL
38.58,21.86,45.24,20.72,0.0127,1.56,0.4841,0,MODERATE
63.16,24.63,55.37,32.29,0.0447,0.83,0.9464,1,CRITICAL
74.27,50.67,68.27,20.63,0.0471,1.14,0.937,1,CRITICAL
31.58,6.85,28.84,23.63,0.0211,1.45,0.204,0,LOW
46.44,25.69,37.93,41.4,0.0373,0.77,0.8959,1,CRITICAL
68.61,42.56,65.8,26.67,0.0578,0.94,0.982,1,CRITICAL
32.73,11.03,32.57,29.52,0.0616,1.16,0.8185,1,CRITICAL
72.6,43.45,69.82,34.09,0.065,0.72,0.9954,1,CRITICAL
23.78,28.42,62.95,31.47,0.0279,1.17,0.6226,1,HIGH
45.67,28.53,38.85,29.05,0.0352,1.06,0.8127,1,CRITICAL
44.81,8.38,35.88,30.55,0.0298,1.02,0.7693,1,CRITICAL
60.41,26.32,49.52,44.82,0.052,0.65,0.9851,1,CRITICAL
25.54,15.32,29.75,27.6,0.0217,1.31,0.3107,0,MODERATE
69.23,55.41,73.79,29.41,0.0658,0.85,0.9892,1,CRITICAL
55.59,35.91,57.52,35.35,0.0509,0.81,0.959,1,CRITICAL
57.77,43.42,56.46,35.74,0.0423,0.79,0.952,1,CRITICAL
40.45,28.9,38.92,36.31,0.0296,0.9,0.8459,1,CRITICAL
50.48,33.05,45.95,32.47,0.0575,0.92,0.9367,1,CRITICAL
63.6,31.46,57.96,20.0,0.055,1.29,0.8769,1,CRITICAL
63.03,48.97,64.61,39.43,0.0744,0.7,0.9879,1,CRITICAL
42.67,18.57,36.89,19.98,0.0284,1.56,0.406,0,MODERATE
29.42,10.11,45.67,30.12,0.016,1.17,0.5743,1,HIGH
33.91,21.83,39.97,22.72,0.0195,1.48,0.4671,0,MODERATE
63.27,37.73,55.32,27.55,0.0339,0.95,0.9681,1,CRITICAL
41.61,10.17,43.72,30.3,-0.0439,1.05,0.7581,1,CRITICAL
24.99,32.76,69.35,30.25,0.0226,1.2,0.5816,1,HIGH
59.97,16.67,48.29,30.95,0.0517,0.88,0.9386,1,CRITICAL
57.93,37.67,49.68,39.3,-0.063,0.73,0.9614,1,CRITICAL
39.56,41.07,40.57,31.17,0.0501,1.04,0.9106,1,CRITICAL
21.87,17.56,32.76,26.29,0.0273,1.41,0.3622,0,MODERATE
89.52,50.43,75.19,34.75,0.0904,0.61,0.9984,1,CRITICAL
47.22,51.84,77.97,36.33,0.0583,0.85,0.979,1,CRITICAL
56.01,51.68,60.24,19.41,0.0276,1.43,0.8007,1,CRITICAL
43.94,33.46,66.64,32.18,0.0343,0.97,0.8228,1,CRITICAL
30.88,16.22,30.69,32.91,0.0125,1.06,0.6333,1,HIGH
55.69,39.22,71.04,25.92,0.0372,1.08,0.9099,1,CRITICAL
24.84,16.95,27.0,37.63,0.0492,0.98,0.7238,1,CRITICAL
55.65,54.38,48.89,26.95,0.0271,1.04,0.9562,1,CRITICAL
81.18,61.11,101.34,28.88,0.0985,0.77,0.999,1,CRITICAL
46.32,14.56,38.51,26.79,0.019,1.14,0.7066,1,HIGH
34.05,30.56,70.18,28.11,0.0779,1.2,0.9075,1,CRITICAL
26.95,30.98,30.76,20.33,0.0125,1.75,0.0467,0,LOW
39.04,54.33,104.88,17.92,0.0324,1.79,0.4942,0,MODERATE
42.81,34.17,45.88,39.16,-0.0334,0.83,0.9188,1,CRITICAL
76.43,42.64,82.39,22.07,0.0718,1.04,0.9903,1,CRITICAL
54.98,13.79,44.09,21.06,0.0207,1.33,0.6468,1,HIGH
61.62,41.81,59.59,12.93,-0.0425,2.03,0.3629,0,MODERATE
33.99,22.04,47.25,23.53,-0.0286,1.43,0.4966,0,MODERATE
46.56,40.35,60.16,18.74,0.0212,1.61,0.2538,0,MODERATE
57.99,34.38,48.97,39.49,0.0384,0.73,0.9647,1,CRITICAL
13.97,17.06,19.32,35.07,0.0255,1.14,0.251,0,HIGH
15.74,9.76,20.74,23.18,0.0062,1.68,0.0649,0,LOW
15.49,15.28,14.03,43.77,0.0362,0.92,0.6525,1,CRITICAL
39.89,15.19,40.69,34.87,0.0209,0.94,0.7677,1,CRITICAL
66.58,22.23,77.95,25.73,0.0589,0.99,0.9682,1,CRITICAL
29.16,24.28,28.69,12.0,0.021,2.9,0.0022,0,LOW
25.58,19.03,28.96,44.04,0.027,0.85,0.637,1,CRITICAL
36.75,40.73,78.05,18.27,-0.0232,1.79,0.2599,0,MODERATE
41.91,5.69,34.01,16.48,0.0391,1.9,0.1438,0,LOW
34.53,4.27,41.06,35.16,0.0386,0.97,0.8296,1,CRITICAL
26.09,25.29,41.28,45.08,0.0269,0.83,0.802,1,CRITICAL
24.13,40.95,40.76,37.69,0.0262,0.98,0.6705,1,CRITICAL
87.78,52.07,89.1,31.95,0.0958,0.66,0.9993,1,CRITICAL
19.42,17.37,34.98,32.16,0.0513,1.18,0.5415,1,HIGH
58.47,28.37,47.69,33.97,0.0656,0.82,0.9687,1,CRITICAL
82.0,68.03,77.06,33.31,0.0742,0.68,0.9967,1,CRITICAL
69.11,54.44,78.2,29.97,0.0586,0.84,0.9848,1,CRITICAL
24.22,3.18,20.85,28.73,0.0646,1.27,0.3978,0,MODERATE
76.95,37.32,61.74,27.56,0.0477,0.84,0.9782,1,CRITICAL
20.87,28.51,41.98,22.72,0.0527,1.64,0.2849,0,MODERATE
34.58,17.25,46.35,26.04,0.0296,1.29,0.4882,0,MODERATE
43.52,33.26,42.78,16.15,0.0108,1.91,0.1359,0,LOW
25.22,29.31,62.47,27.31,0.0205,1.33,0.4205,0,MODERATE
48.45,21.24,60.59,21.08,0.0303,1.41,0.6631,1,HIGH
31.25,46.7,76.56,20.27,0.043,1.69,0.4647,0,MODERATE
84.43,63.55,107.29,29.26,0.0943,0.74,0.9988,1,CRITICAL
44.3,27.16,45.29,37.74,0.0308,0.84,0.8692,1,CRITICAL
67.39,37.35,74.99,34.43,0.0959,0.75,0.9938,1,CRITICAL
83.62,43.84,83.49,17.01,-0.0408,1.25,0.9769,1,CRITICAL
54.73,52.57,68.81,21.07,0.0385,1.33,0.8476,1,CRITICAL
83.82,58.59,90.3,34.59,0.0978,0.64,0.9991,1,CRITICAL
64.73,23.0,54.28,21.12,0.0256,1.21,0.8624,1,CRITICAL
59.18,11.3,51.34,26.43,-0.0281,1.03,0.8581,1,CRITICAL
45.37,15.41,40.93,31.85,0.0269,0.97,0.8627,1,CRITICAL
19.71,26.39,41.36,21.22,0.0079,1.77,0.0738,0,LOW
42.42,29.03,58.91,28.74,0.0337,1.1,0.8356,1,CRITICAL
27.51,12.26,32.27,18.66,0.0196,1.89,0.0416,0,LOW
70.22,35.64,69.22,23.79,0.0562,1.03,0.9673,1,CRITICAL
29.76,29.34,50.12,30.24,0.0269,1.16,0.5339,1,HIGH
50.16,35.3,45.75,16.85,0.0201,1.73,0.3375,0,MODERATE
62.1,30.27,50.46,31.08,0.0346,0.86,0.9631,1,CRITICAL
27.61,19.8,31.97,27.86,0.0125,1.28,0.3407,0,MODERATE
47.2,42.46,74.51,31.87,-0.0455,0.96,0.9557,1,CRITICAL
36.13,26.42,52.35,29.57,0.0573,1.12,0.8795,1,CRITICAL
52.95,38.47,49.21,37.55,0.036,0.79,0.9556,1,CRITICAL
24.35,19.71,20.48,28.88,0.0128,1.26,0.3326,0,MODERATE
86.06,70.88,84.04,24.99,0.08,0.84,0.9959,1,CRITICAL
55.9,49.12,71.7,28.86,0.0569,0.98,0.9501,1,CRITICAL
86.03,46.15,85.23,31.8,0.1283,0.68,0.9994,1,CRITICAL
65.32,27.29,60.56,28.34,0.0405,0.91,0.9556,1,CRITICAL
38.0,28.95,32.38,28.28,0.0118,1.16,0.6186,1,HIGH
66.21,45.38,89.22,23.09,0.0513,1.1,0.9833,1,CRITICAL
72.66,45.88,62.97,23.36,0.0381,1.02,0.9721,1,CRITICAL
66.4,26.56,56.93,18.18,0.0348,1.38,0.8295,1,CRITICAL
49.25,42.37,64.79,40.25,0.0772,0.77,0.9675,1,CRITICAL
30.39,39.76,83.93,19.29,0.0339,1.79,0.2893,0,MODERATE
69.18,50.72,71.53,23.15,0.0404,1.07,0.9719,1,CRITICAL
64.49,27.44,66.29,22.97,-0.0346,1.12,0.9271,1,CRITICAL
40.13,25.45,37.87,34.26,0.0537,0.95,0.9058,1,CRITICAL
25.51,10.45,20.72,25.94,0.0146,1.39,0.2368,0,MODERATE
61.46,32.44,52.37,36.73,0.078,0.75,0.9874,1,CRITICAL
30.13,18.41,37.27,23.29,-0.0287,1.49,0.2701,0,MODERATE
38.77,15.9,33.48,29.95,0.0882,1.09,0.7967,1,CRITICAL
65.62,52.42,84.79,22.15,0.0718,1.15,0.9677,1,CRITICAL
27.06,4.84,24.78,43.02,0.0176,0.86,0.6467,1,CRITICAL
19.87,6.1,26.97,19.69,0.0248,1.91,0.0534,0,LOW
17.41,11.23,24.69,30.17,0.0139,1.28,0.2278,0,MODERATE
61.92,34.08,63.43,32.44,0.0464,0.83,0.9827,1,CRITICAL
61.85,23.2,55.43,30.9,0.0394,0.87,0.9658,1,CRITICAL
42.98,48.48,65.4,26.7,0.0326,1.17,0.7746,1,CRITICAL
68.55,34.85,63.65,27.09,0.0412,0.92,0.9633,1,CRITICAL
40.34,27.94,50.34,28.31,0.0221,1.13,0.6802,1,HIGH
42.6,16.27,49.24,26.97,0.0293,1.16,0.7547,1,CRITICAL
39.11,40.61,33.16,34.75,0.0612,0.94,0.859,1,CRITICAL
16.39,40.91,27.73,43.47,0.0195,0.92,0.4446,0,CRITICAL
36.26,16.8,41.01,24.1,0.0198,1.37,0.52,1,HIGH
20.16,42.54,50.46,18.41,0.0104,2.04,0.0364,0,LOW
32.53,33.84,57.93,27.38,0.0205,1.25,0.5997,1,HIGH
63.39,47.94,53.17,46.06,0.0679,0.62,0.9873,1,CRITICAL
14.87,11.27,13.17,22.37,0.0298,1.75,0.0363,0,LOW
35.2,21.03,33.39,39.47,0.0231,0.87,0.7837,1,CRITICAL
34.51,30.39,92.31,39.74,0.0542,0.87,0.9049,1,CRITICAL
55.59,18.09,44.8,24.12,0.0384,1.16,0.881,1,CRITICAL
27.84,23.62,39.03,31.98,0.0125,1.12,0.453,0,HIGH
59.72,39.09,61.84,39.4,0.055,0.72,0.9815,1,CRITICAL
30.33,11.77,39.86,25.35,0.0298,1.37,0.4412,0,MODERATE
65.87,26.55,56.39,26.57,0.0502,0.96,0.9622,1,CRITICAL
57.3,35.35,49.7,23.93,0.0235,1.15,0.7796,1,CRITICAL
50.0,15.24,48.45,20.9,-0.0209,1.4,0.7164,1,HIGH
35.87,19.46,30.2,23.46,0.0256,1.41,0.2556,0,MODERATE
22.52,23.89,19.18,19.43,-0.0075,1.89,0.016,0,LOW
43.44,25.54,36.14,28.24,-0.04,1.11,0.8219,1,CRITICAL
67.13,43.23,66.46,22.61,0.0341,1.11,0.904,1,CRITICAL
